,down,time,TimeSecs,PlayTimeDiff,SideofField
336095,3.0,02:58,178.0,0.0,TEN
322509,2.0,04:25,2965.0,39.0,HOU
339370,2.0,09:47,1487.0,45.0,CLE
342588,,00:12,1812.0,6.0,SF
379295,1.0,07:27,1347.0,37.0,MIA
111512,,01:18,78.0,18.0,NYG
58060,1.0,07:13,2233.0,42.0,SD
118237,4.0,14:20,1760.0,4.0,HOU
389477,3.0,01:06,1866.0,39.0,MIN
280393,2.0,07:11,3131.0,39.0,CHI
160870,2.0,01:05,965.0,38.0,ATL
174274,1.0,10:20,620.0,27.0,TEN
289473,2.0,01:51,111.0,0.0,PHI
75232,2.0,14:13,2653.0,37.0,SD
73366,2.0,08:15,1395.0,30.0,MIN
172958,2.0,12:18,2538.0,29.0,NYG
378008,1.0,09:59,2399.0,11.0,PIT
100466,3.0,01:31,2791.0,42.0,TB
396377,,02:48,168.0,8.0,CIN
261626,1.0,15:00,2700.0,0.0,SF
172811,3.0,01:50,1910.0,3.0,NO
242568,3.0,10:57,1557.0,47.0,MIN
264497,2.0,13:12,1692.0,36.0,SEA
333537,2.0,09:11,551.0,6.0,LA
282368,4.0,12:49,2569.0,6.0,CIN
315996,1.0,12:20,3440.0,23.0,TB
206323,3.0,04:51,291.0,43.0,NYJ
231159,2.0,06:52,3112.0,18.0,DAL
200013,3.0,13:21,801.0,48.0,DAL
162825,1.0,13:28,2608.0,5.0,CHI
394475,2.0,14:12,852.0,37.0,DEN
74192,1.0,06:55,2215.0,37.0,ATL
393662,4.0,09:03,3243.0,40.0,DAL
302053,3.0,06:46,1306.0,46.0,SEA
153231,1.0,14:03,2643.0,5.0,NYJ
354937,2.0,05:52,352.0,8.0,KC
133425,1.0,00:29,1829.0,9.0,OAK
174863,1.0,07:52,2272.0,46.0,CIN
9336,2.0,04:41,2081.0,33.0,KC
44501,1.0,06:37,2197.0,0.0,CIN
263335,1.0,06:09,369.0,46.0,CIN
150769,2.0,02:00,1920.0,31.0,SEA
55630,3.0,04:18,258.0,4.0,DEN
380862,2.0,09:57,597.0,42.0,NYG
131527,3.0,03:15,1095.0,39.0,ATL
256238,2.0,01:33,993.0,33.0,BUF
231455,1.0,02:04,1024.0,0.0,PHI
35943,1.0,14:52,2692.0,8.0,NYG
322545,1.0,06:52,2212.0,36.0,NE
103817,1.0,05:39,3039.0,11.0,STL
371149,1.0,11:11,1571.0,38.0,TEN
54047,,00:00,1800.0,18.0,CAR
110664,4.0,07:08,2228.0,4.0,TB
88207,4.0,05:50,1250.0,41.0,WAS
347448,2.0,08:00,3180.0,46.0,MID
275507,2.0,01:02,1862.0,0.0,JAC
325350,2.0,13:43,3523.0,37.0,CIN
279435,1.0,04:29,2969.0,8.0,MIA
101778,3.0,09:09,2349.0,0.0,CAR
368255,1.0,00:24,2724.0,0.0,CLE
343351,1.0,01:50,1010.0,37.0,CAR
14642,,07:45,2265.0,5.0,OAK
185873,1.0,05:06,2106.0,5.0,HOU
357832,,02:47,167.0,5.0,CLE
91089,2.0,01:18,78.0,42.0,MIN
125754,1.0,11:30,1590.0,44.0,DAL
68030,,11:19,1579.0,0.0,HOU
233066,1.0,15:00,0.0,0.0,SEA
1480,3.0,04:02,1142.0,6.0,KC
267788,3.0,04:18,258.0,6.0,DEN
392503,1.0,03:20,1100.0,3.0,NYJ
101554,1.0,09:59,3299.0,0.0,ARI
37815,4.0,04:05,245.0,14.0,OAK
246535,1.0,01:11,71.0,8.0,GB
96967,1.0,03:37,2017.0,0.0,ATL
170605,2.0,01:07,67.0,40.0,CHI
113452,,14:48,3588.0,12.0,TB
366269,1.0,07:06,426.0,6.0,JAX
386901,,00:22,922.0,0.0,NO
305940,,04:12,2052.0,4.0,SF
170090,1.0,10:10,3310.0,0.0,IND
339740,,09:07,1447.0,5.0,SF
368161,2.0,07:03,1323.0,45.0,BAL
351032,3.0,08:25,2305.0,5.0,NYJ
68229,,00:00,900.0,28.0,CIN
384507,2.0,05:54,2154.0,20.0,CAR
198097,1.0,06:09,369.0,7.0,TEN
108182,2.0,03:59,2939.0,4.0,STL
251023,4.0,06:17,3077.0,41.0,CHI
83778,2.0,06:23,383.0,5.0,MIN
201798,,00:10,10.0,5.0,MIN
85028,,09:07,3247.0,6.0,JAC
237396,1.0,01:39,99.0,0.0,DET
96190,1.0,09:45,3285.0,0.0,BUF
151675,2.0,11:18,678.0,39.0,WAS
232106,,15:00,1800.0,20.0,BAL
17956,3.0,03:06,1986.0,39.0,DEN
303242,3.0,09:41,3281.0,30.0,SEA
79861,1.0,02:40,1060.0,10.0,CHI
164230,2.0,03:04,184.0,29.0,OAK
121378,3.0,07:54,3174.0,40.0,PIT
249227,,05:26,326.0,5.0,CLE
260571,,10:25,2425.0,40.0,IND
75552,,14:30,2670.0,3.0,HOU
361889,1.0,00:06,6.0,12.0,WAS
96601,3.0,15:00,2700.0,9.0,BAL
212834,1.0,04:32,2072.0,30.0,NYJ
215548,2.0,07:23,1343.0,42.0,MIA
387669,1.0,04:34,274.0,9.0,LA
401341,1.0,13:25,805.0,9.0,SEA
173215,2.0,07:00,420.0,35.0,SEA
326724,3.0,01:55,1015.0,5.0,OAK
383573,1.0,00:48,48.0,11.0,DEN
46934,1.0,02:06,1926.0,23.0,WAS
47316,3.0,12:54,1674.0,35.0,KC
304404,1.0,07:27,447.0,25.0,OAK
156505,,00:00,0.0,17.0,WAS
30411,4.0,04:15,1155.0,5.0,PIT
393258,,10:21,621.0,0.0,DEN
15867,3.0,12:47,2567.0,40.0,STL
395383,1.0,09:46,3286.0,12.0,LAC
392004,2.0,06:28,388.0,37.0,ATL
17805,2.0,13:07,1687.0,19.0,WAS
324688,3.0,15:00,2700.0,0.0,IND
182150,1.0,12:33,3453.0,31.0,DAL
125719,1.0,06:26,2186.0,0.0,NYG
245195,1.0,14:06,846.0,21.0,JAC
73148,2.0,05:31,2131.0,43.0,NYJ
31283,2.0,08:02,1382.0,39.0,NO
165625,4.0,00:21,21.0,3.0,GB
267819,1.0,12:43,3463.0,42.0,CLE
278523,2.0,07:58,3178.0,4.0,MIA
17100,4.0,12:40,1660.0,6.0,MIA
369555,,02:00,1920.0,45.0,MIN
399106,1.0,09:14,2354.0,11.0,NE
223981,3.0,07:49,1369.0,30.0,NE
6848,3.0,05:31,2131.0,44.0,PHI
69272,1.0,14:21,2661.0,39.0,ARI
144460,1.0,11:58,2518.0,9.0,JAC
66134,2.0,03:24,204.0,0.0,ARI
79847,,08:43,1423.0,0.0,CHI
358663,1.0,04:25,1165.0,35.0,ARI
103700,3.0,11:49,1609.0,5.0,SF
146297,1.0,06:46,2206.0,0.0,CLE
221196,1.0,14:47,1787.0,5.0,SEA
28226,1.0,00:59,59.0,0.0,DAL
176169,1.0,05:41,1241.0,6.0,TEN
222042,1.0,04:54,2994.0,35.0,CHI
364930,1.0,08:05,2285.0,35.0,LAC
391565,2.0,10:21,2421.0,38.0,TEN
102506,4.0,07:13,1333.0,32.0,DEN
227776,3.0,14:01,841.0,0.0,DET
387734,2.0,06:27,2187.0,4.0,DAL
367048,1.0,00:56,1856.0,11.0,SF
178653,2.0,12:19,3439.0,39.0,MIN
259516,1.0,04:42,2082.0,27.0,PIT
269877,2.0,14:30,870.0,30.0,ARI
161561,2.0,03:51,2031.0,36.0,STL
69057,4.0,04:58,2998.0,8.0,STL
261734,4.0,07:59,479.0,46.0,OAK
272269,1.0,15:00,1800.0,0.0,SD
221883,3.0,07:03,2223.0,5.0,GB
190946,2.0,03:41,1121.0,27.0,ATL
316169,2.0,13:42,3522.0,36.0,ARI
355346,1.0,09:29,2369.0,5.0,IND
317952,3.0,00:15,15.0,33.0,SD
163378,1.0,10:51,3351.0,29.0,NYJ
157893,3.0,04:36,276.0,0.0,NO
310977,3.0,07:01,421.0,41.0,DET
399169,1.0,04:25,1165.0,5.0,NE
100002,,00:06,1806.0,5.0,NE
84000,1.0,00:20,2720.0,43.0,ARI
60132,3.0,01:53,113.0,0.0,WAS
199330,2.0,09:19,559.0,27.0,SF
113440,1.0,02:00,120.0,0.0,CAR
52533,1.0,12:39,759.0,37.0,SD
102544,,06:35,395.0,0.0,DEN
302337,2.0,10:27,3327.0,36.0,CLE
397370,1.0,00:48,1848.0,6.0,SF
65870,,01:55,1915.0,7.0,BUF
208984,1.0,06:24,384.0,34.0,DET
182639,3.0,03:56,1136.0,43.0,SD
392202,1.0,15:00,3600.0,0.0,PHI
320571,2.0,02:20,1940.0,28.0,MIA
289468,3.0,02:05,125.0,22.0,PHI
47682,3.0,10:19,619.0,45.0,CIN
291630,3.0,03:10,190.0,0.0,OAK
114784,,04:44,1184.0,0.0,NE
67121,,08:26,2306.0,0.0,GB
6894,3.0,03:37,1117.0,43.0,KC
291964,,02:00,120.0,24.0,GB
203803,3.0,05:06,3006.0,5.0,GB
204443,2.0,03:12,192.0,0.0,OAK
50981,1.0,05:49,3049.0,8.0,DET
213467,2.0,03:52,232.0,38.0,SD
392425,1.0,09:30,2370.0,32.0,NYJ
170814,2.0,11:20,2480.0,5.0,ARI
273892,1.0,00:17,1817.0,8.0,PIT
89229,3.0,06:17,2177.0,41.0,STL
326662,1.0,04:05,2045.0,4.0,BAL
338036,2.0,03:03,2883.0,7.0,DAL
250791,3.0,09:57,597.0,39.0,ARI
124593,4.0,01:13,73.0,47.0,NYJ
274265,1.0,11:25,1585.0,11.0,DET
367823,2.0,04:47,287.0,9.0,DET
22673,,01:59,1919.0,7.0,ATL
403782,,11:51,711.0,6.0,TEN
158024,2.0,09:18,1458.0,34.0,IND
80422,3.0,03:32,212.0,4.0,NYJ
264645,1.0,03:53,2033.0,12.0,DAL
295354,2.0,02:29,1949.0,53.0,CHI
113377,1.0,09:40,1480.0,11.0,TEN
145487,2.0,03:14,194.0,44.0,NYG
148541,,07:01,2221.0,11.0,NYJ
361036,1.0,00:40,40.0,17.0,JAX
213729,3.0,02:00,1920.0,10.0,NYG
357710,,12:39,2559.0,3.0,SD
220812,1.0,00:42,2742.0,43.0,CLE
103496,2.0,01:38,1898.0,5.0,PHI
378333,2.0,09:24,2364.0,30.0,NYG
299839,3.0,04:12,2052.0,47.0,DAL
212478,2.0,07:39,2259.0,9.0,NE
99794,2.0,15:00,2700.0,43.0,MIA
135174,,11:33,2493.0,0.0,WAS
65278,1.0,07:37,457.0,30.0,NYJ
134505,2.0,09:11,1451.0,36.0,NYG
116832,2.0,01:15,2775.0,48.0,CHI
231558,1.0,14:07,2647.0,12.0,HOU
14460,1.0,10:20,2420.0,13.0,KC
400459,3.0,04:49,289.0,0.0,MIA
222527,2.0,08:29,3209.0,36.0,NYG
364845,1.0,06:25,385.0,44.0,MIN
405789,3.0,15:00,2700.0,0.0,CLE
178806,1.0,07:50,470.0,4.0,GB
357900,,10:07,2407.0,5.0,WAS
398378,3.0,05:45,2145.0,41.0,ARI
372978,2.0,05:00,1200.0,5.0,ARI
233436,2.0,00:33,33.0,41.0,CAR
245121,4.0,06:32,2192.0,44.0,MIA
121788,,08:55,1435.0,46.0,BUF
145317,3.0,03:02,182.0,45.0,GB
376277,2.0,03:01,181.0,5.0,PHI
359073,3.0,04:01,241.0,0.0,HOU
107578,3.0,09:17,557.0,10.0,MIA
353564,1.0,04:00,240.0,32.0,SEA
311362,,04:47,1187.0,4.0,WAS
360781,4.0,01:11,1871.0,5.0,MIN
103228,4.0,05:43,343.0,4.0,CIN
172445,3.0,05:53,2153.0,38.0,CLE
374716,2.0,15:00,2700.0,0.0,NYG
82273,1.0,11:46,2506.0,10.0,CIN
325423,1.0,01:06,1866.0,0.0,MIA
177532,2.0,00:10,1810.0,6.0,BAL
140912,3.0,04:32,272.0,7.0,MIA
91634,1.0,02:02,2822.0,41.0,NYJ
247013,2.0,12:52,772.0,35.0,CLE
109120,4.0,09:56,2396.0,33.0,CLE
73007,1.0,10:20,1520.0,32.0,DAL
58764,1.0,14:14,2654.0,29.0,DET
317233,1.0,15:00,3600.0,0.0,PHI
11875,3.0,08:05,2285.0,47.0,NYG
43478,1.0,14:00,2640.0,7.0,KC
269096,1.0,09:44,2384.0,12.0,SD
132421,3.0,10:37,637.0,4.0,MIN
346168,2.0,05:05,305.0,25.0,IND
286433,1.0,13:51,2631.0,29.0,GB
36085,1.0,14:13,3553.0,6.0,SF
350186,1.0,14:03,1743.0,0.0,OAK
324312,2.0,00:04,4.0,0.0,LA
149089,1.0,05:15,3015.0,10.0,ATL
344637,4.0,13:33,3513.0,3.0,ARI
172333,3.0,13:13,793.0,33.0,MIA
139938,1.0,04:07,2047.0,27.0,DEN
401658,1.0,05:22,1222.0,37.0,NE
259853,3.0,04:23,2063.0,39.0,TEN
266738,1.0,01:36,96.0,1.0,KC
21342,,12:54,774.0,10.0,TB
347665,2.0,04:16,2056.0,8.0,TB
183672,1.0,09:22,2362.0,5.0,TEN
187362,4.0,03:28,208.0,4.0,MIN
341537,3.0,15:00,900.0,0.0,ATL
384181,1.0,01:06,1866.0,36.0,TB
101744,4.0,06:18,3078.0,4.0,CAR
156564,4.0,05:58,2158.0,37.0,CLE
252362,4.0,12:01,1621.0,6.0,TB
258247,2.0,12:05,3425.0,42.0,NO
190904,2.0,02:03,1923.0,25.0,MID
141084,1.0,05:12,1212.0,6.0,NO
25393,1.0,02:02,1022.0,39.0,BAL
216746,,00:06,6.0,5.0,CHI
275037,1.0,08:45,525.0,45.0,CLE
240080,2.0,02:10,1030.0,40.0,DEN
5664,2.0,14:16,1756.0,37.0,BAL
230968,4.0,01:54,114.0,0.0,ATL
205520,1.0,05:06,3006.0,38.0,SD
105650,2.0,09:46,1486.0,28.0,TEN
381094,4.0,07:10,3130.0,6.0,WAS
358451,,02:00,1920.0,24.0,NO
223945,1.0,05:39,2139.0,27.0,BUF
231663,1.0,09:25,565.0,0.0,HOU
122823,,08:03,2283.0,13.0,DET
385307,2.0,13:10,790.0,30.0,WAS
374119,1.0,15:00,3600.0,0.0,IND
52759,,00:42,42.0,8.0,NYJ
185106,1.0,14:31,2671.0,29.0,NYG
403374,3.0,12:10,1630.0,40.0,NO
72244,3.0,06:46,3106.0,6.0,IND
131015,1.0,03:59,1139.0,5.0,SEA
145839,2.0,02:05,125.0,0.0,STL
261537,4.0,04:32,1172.0,5.0,SEA
214532,3.0,07:57,477.0,45.0,CLE
269086,1.0,12:02,2522.0,36.0,SD
27696,2.0,03:32,212.0,0.0,PHI
393825,2.0,11:20,3380.0,36.0,ATL
156640,2.0,14:11,851.0,38.0,BAL
61047,1.0,07:00,3120.0,38.0,NO
38503,2.0,05:04,1204.0,6.0,PHI
310618,2.0,06:52,412.0,38.0,PIT
205284,2.0,09:15,555.0,44.0,SF
228134,4.0,04:35,275.0,41.0,PIT
283404,2.0,13:11,791.0,5.0,STL
361856,,08:13,493.0,4.0,NYG
104299,,01:06,66.0,0.0,CLE
145737,4.0,07:47,2267.0,4.0,STL
311716,3.0,13:32,1712.0,0.0,PIT
100346,2.0,02:09,1929.0,5.0,BAL
225533,1.0,14:23,1763.0,37.0,STL
50654,1.0,01:35,2795.0,12.0,NE
29384,1.0,06:28,1288.0,45.0,NYJ
190604,3.0,04:30,1170.0,34.0,PHI
124683,,00:06,1806.0,5.0,CIN
38380,1.0,01:22,82.0,27.0,CHI
307274,1.0,03:16,2896.0,29.0,TB
56351,2.0,09:12,552.0,42.0,CAR
172144,2.0,04:24,1164.0,26.0,BAL
146816,2.0,08:37,2317.0,24.0,KC
260741,2.0,01:05,2765.0,38.0,TB
85125,1.0,04:25,1165.0,24.0,WAS
15894,2.0,01:31,1891.0,20.0,STL
194780,,08:40,2320.0,7.0,KC
220859,,01:18,1878.0,0.0,NYJ
59098,1.0,10:08,3308.0,38.0,NO
5813,2.0,03:05,1985.0,38.0,TEN
33995,1.0,00:40,40.0,20.0,KC
367410,2.0,14:26,1766.0,34.0,DEN
162563,2.0,02:33,1053.0,40.0,IND
243225,3.0,04:04,2044.0,45.0,SD
133489,2.0,06:58,418.0,35.0,OAK
155458,2.0,02:23,143.0,24.0,SF
162870,3.0,13:53,1733.0,51.0,CHI
96832,,07:32,1352.0,0.0,SD
324712,1.0,06:21,2181.0,4.0,SD
95877,1.0,13:42,2622.0,38.0,DEN
34638,1.0,06:03,1263.0,35.0,IND
356727,3.0,08:29,3209.0,39.0,NYG
380653,1.0,12:12,1632.0,32.0,PIT
312951,2.0,00:50,50.0,2.0,KC
392743,,01:58,118.0,4.0,SEA
346328,1.0,08:16,496.0,0.0,TEN
155599,,07:25,445.0,7.0,KC
17958,,02:00,1920.0,28.0,DEN
265480,1.0,00:26,26.0,3.0,SF
292864,1.0,06:55,415.0,0.0,NO
12436,,10:08,1508.0,6.0,JAC
384378,,11:34,1594.0,0.0,LA
13530,1.0,02:41,161.0,46.0,DET
353561,1.0,05:36,336.0,7.0,SEA
236707,1.0,00:44,2744.0,48.0,NYG
14979,1.0,10:02,2402.0,36.0,TEN
397371,1.0,00:37,1837.0,11.0,HOU
213857,3.0,01:58,2818.0,37.0,NO
367875,2.0,04:22,2962.0,5.0,SF
67879,3.0,04:38,1178.0,43.0,TB
301259,3.0,07:52,2272.0,42.0,OAK
345758,1.0,09:03,2343.0,47.0,MIN
120662,4.0,09:33,3273.0,21.0,IND
196935,2.0,05:00,2100.0,42.0,PHI
141832,3.0,03:07,1087.0,5.0,DET
152956,4.0,08:06,486.0,30.0,DET
212648,,07:50,2270.0,0.0,ARI
223871,2.0,02:00,120.0,0.0,NO
257620,2.0,05:06,1206.0,36.0,SD
346968,1.0,02:04,1924.0,45.0,NYG
35777,4.0,11:05,2465.0,0.0,DAL
375716,3.0,01:18,78.0,6.0,GB
136080,2.0,05:31,2131.0,0.0,MIA
23285,2.0,13:37,3517.0,42.0,CIN
249764,2.0,01:58,118.0,0.0,DAL
183430,1.0,02:28,148.0,4.0,MID
182199,2.0,07:18,2238.0,34.0,DAL
99172,1.0,13:47,827.0,37.0,DAL
374960,2.0,14:28,1768.0,32.0,PIT
147083,1.0,15:00,3600.0,0.0,JAC
257441,1.0,05:13,1213.0,33.0,CLE
244747,3.0,07:17,3137.0,42.0,CHI
157296,,01:20,1880.0,5.0,TB
226782,,03:31,2011.0,6.0,KC
213626,3.0,06:57,417.0,28.0,DEN
113247,1.0,05:02,302.0,4.0,ARI
358502,1.0,01:16,976.0,21.0,NO
146652,,05:00,2100.0,48.0,CIN
115484,4.0,03:00,1080.0,44.0,WAS
387046,1.0,09:08,1448.0,34.0,NYJ
374504,2.0,13:00,3480.0,4.0,BUF
88783,1.0,00:32,32.0,8.0,PHI
213574,2.0,12:40,1660.0,31.0,KC
203606,2.0,13:51,3531.0,39.0,MIN
179409,2.0,02:36,1956.0,6.0,OAK
262400,2.0,06:20,1280.0,33.0,PIT
346293,,04:07,1147.0,5.0,TEN
267697,2.0,02:00,1920.0,0.0,MID
88430,4.0,02:36,156.0,5.0,TEN
16095,2.0,04:59,1199.0,42.0,PIT
242918,1.0,04:31,1171.0,9.0,DET
307883,2.0,12:48,1668.0,4.0,HOU
