Geo Point;Geo Shape;SECTOR;SUBSECTOR;PRIMARY_TY;SEC_CLASS;DATE_CREAT;DATE_MODIF;COMP_AFFIL;NAME;NAME2;NAME3;ADDRESS1;ADDRESS2;PO_BOX;PO_ZIP;CITY;STATE;ZIP;ZIP_4;COUNTY;HSIP_AOI;FEMA_REGIO;LATITUDE;LONGITUDE;RELIABILIT;COORSOURCE;COMMENTS_1;CONFERENCE;DIVISION;CAPACITY;ROOF_TYPE;TEAM
39.9014700517,-75.1672900567;"{""type"": ""Point"", ""coordinates"": [-75.16729005674796, 39.90147005168308]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Lincoln Financial Field;;;1020 Pattison Avenue;;;;Philadelphia;PA;19148;;Philadelphia;Philadelphia;3.0;39.90147000000;-75.16729000000;High;NGA;Shares stadium with Union (MLS), Temple Owls(NCAA).;National;East;68532.0;Open;Philadelphia Eagles
32.7832199992,-117.119759969;"{""type"": ""Point"", ""coordinates"": [-117.11975996885144, 32.78321999916608]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Qualcomm Stadium;;;9449 Friars Road;;;;San Diego;CA;92108;;San Diego;San Diego;9.0;32.78322000000;-117.11976000000;High;NGA;Shares stadium with San Diego St Aztecs(NCAA).;American;West;71294.0;Open;San Diego Chargers
35.2258400005,-80.8533099799;"{""type"": ""Point"", ""coordinates"": [-80.85330997988439, 35.225840000480154]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Bank of America Stadium;;;800 South Mint Street;;;;Charlotte;NC;28202;;Mecklenburg;Charlotte;4.0;35.22584000000;-80.85331000000;High;NGA;;National;South;73778.0;Open;Carolina Panthers
30.3238700522,-81.6368999561;"{""type"": ""Point"", ""coordinates"": [-81.63689995605307, 30.323870052233815]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Jacksonville Municipal Stadium;;;1 Stadium Place;;;;Jacksonville;FL;32202;32202-1918;Duval;Jacksonville;4.0;30.32387000000;-81.63690000000;High;NGA;;American;South;76867.0;Open;Jacksonville Jaguars
41.8625000675,-87.6167699762;"{""type"": ""Point"", ""coordinates"": [-87.61676997620833, 41.862500067497876]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Soldier Field;;;1410 South Museum Campus Drive;;;;Chicago;IL;60605;;Cook;Chicago;5.0;41.86250000000;-87.61677000000;High;NGA;;National;North;61500.0;Open;Chicago Bers
42.0918799131,-71.2649100654;"{""type"": ""Point"", ""coordinates"": [-71.26491006535264, 42.09187991311927]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Gillette Stadium;;;1 Patriot Place;;;;Foxboro;MA;2035;02035-1388;Norfolk;Boston;1.0;42.09188000000;-71.26491000000;High;NGA;Shares stadium with Revolution(MLS).;American;East;68756.0;Open;New England Patriots
42.7737900217,-78.7867900188;"{""type"": ""Point"", ""coordinates"": [-78.78679001883404, 42.77379002165435]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Ralph Wilson Stadium;;;1 Bills Drive;;;;Orchard Park;NY;14127;;Erie;Buffalo;2.0;42.77379000000;-78.78679000000;High;NGA;;American;East;73967.0;Open;Buffalo Bills
27.978840052,-82.5034900566;"{""type"": ""Point"", ""coordinates"": [-82.50349005662855, 27.978840051975624]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Raymond James Stadium;;;4201 North Dale Mabry Highway;;;;Tampa;FL;33607;33607-6103;Hillsborough;Tampa-St. Petersburg;4.0;27.97884000000;-82.50349000000;High;NGA;Shares stadium with Southern Florida Bulls(NCAA).;National;South;65857.0;Open;Tampa Bay Buccaneers
47.5952976774,-122.331714406;"{""type"": ""Point"", ""coordinates"": [-122.33171440620401, 47.595297677401895]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Qwest Stadium;;;800 Occidental Avenue South;;;;Seattle;WA;98134;;King;Seattle-Tacoma;10.0;47.59476000000;-122.33165000000;High;NGA;Shares stadium with Sounders FC(MLS).;National;West;67000.0;Open;Seattle Seahawks
44.9740100637,-93.258479972;"{""type"": ""Point"", ""coordinates"": [-93.25847997201066, 44.974010063702735]}";High Value/Symboli;Sports Arena;NFL;UNCLASSIFIED;2004-02-11;2010-02-11;;Hubert H. Humphrey Metrodome;;;900 South 5th Street;;;;Minneapolis;MN;55415;55415-1599;Hennepin;Minneapolis-Saint Paul;5.0;44.97401000000;-93.25848000000;High;NGA;Shares stadium with Twins(MLB) and Min. Gophers(NCAA);National;North;64035.0;Dome;Minnesota Vikings
